Breed_name,Origin,Size,Personality,breed
West Highland White Terrier,Scotland,Small,"Friendly, energetic, and loyal. Known for its white, wiry coat and excellent companionship.",west_highland_white_terrier
Kerry Blue Terrier,Ireland,Medium,"Energetic, intelligent, and loyal. Known for its distinctive blue coat and excellent companionship.",kerry_blue_terrier
Whippet,England,Medium,"Gentle, affectionate, and agile. Known for its sleek build and excellent speed.",whippet
Sealyham Terrier,Wales,Small to medium,"Friendly, energetic, and intelligent. Known for its dense, wiry coat and excellent companionship.",sealyham_terrier
Standard Poodle,Germany,Medium to large,"Intelligent, trainable, and friendly. Known for its curly, hypoallergenic coat and excellent companionship.",standard_poodle
Keeshond,Netherlands,Medium,"Friendly, lively, and intelligent. Known for its thick, dense coat and excellent companionship.",keeshond
Japanese Spaniel,Japan,Small,"Affectionate, intelligent, and lively. Known for its small size and distinctive appearance.",japanese_spaniel
Miniature Poodle,France,Small to medium,"Intelligent, trainable, and affectionate. Known for its curly, hypoallergenic coat and excellent companionship.",miniature_poodle
Pomeranian,Germany/Poland,Small,"Lively, intelligent, and affectionate. Known for its fluffy coat and excellent companionship.",pomeranian
Curly-Coated Retriever,England,Medium to large,"Friendly, energetic, and intelligent. Known for its distinctive curly coat and excellent retrieving abilities.",curly-coated_retriever
Yorkshire Terrier,England,Small,"Lively, intelligent, and affectionate. Known for its long, silky coat and excellent companionship.",yorkshire_terrier
Pembroke Welsh Corgi,Wales,Small to medium,"Intelligent, loyal, and friendly. Known for its short legs and excellent herding abilities.",pembroke
Great Dane,Germany,Large,"Gentle, friendly, and loyal. Known for its large size and excellent companionship.",great_dane
Blenheim Spaniel,England,Small,"Friendly, affectionate, and lively. Known for its distinctive red and white coat and excellent companionship.",blenheim_spaniel
Silky Terrier,Australia,Small,"Lively, intelligent, and affectionate. Known for its silky coat and excellent companionship.",silky_terrier
Sussex Spaniel,England,Medium,"Friendly, gentle, and loyal. Known for its dense, golden-liver coat and excellent hunting abilities.",sussex_spaniel
German Short-haired Pointer,Germany,Medium to large,"Energetic, intelligent, and versatile. Known for its excellent hunting and retrieving abilities.",german_short-haired_pointer
French Bulldog,France,Small to medium,"Playful, affectionate, and intelligent. Known for its distinctive bat-like ears and excellent companionship.",french_bulldog
Bouvier des Flandres,Belgium,Large,"Loyal, protective, and intelligent. Known for its dense, wiry coat and excellent working abilities.",bouvier_des_flandres
Tibetan Mastiff,Tibet,Large,"Loyal, protective, and independent. Known for its dense, thick coat and excellent guard dog abilities.",tibetan_mastiff
English Springer Spaniel,England,Medium,"Friendly, energetic, and intelligent. Known for its beautiful coat and excellent hunting abilities.",english_springer
Cocker Spaniel,England,Small to medium,"Friendly, affectionate, and lively. Known for its beautiful coat and excellent companionship.",cocker_spaniel
Rottweiler,Germany,Large,"Loyal, protective, and confident. Known for its muscular build and excellent guard dog abilities.",rottweiler
